Código;Código Generico Centro;Nombre Centro;Area Territorial;Titularidad;Tel;Fax;Web;E-Mail;Provincia;Municipio;Localidad;Código Postal;Dirección;Número
28000157;CPR INF-PRI-SEC;SAGRADO CORAZON DE JESUS;Madrid-Este;Privado Concertado;918880654;918836927;http://www.educa.madrid.org/cc.scorazondejesus.alcala;cc.scorazondejesus.alcala@educa.madrid.org;MADRID;ALCALÁ DE HENARES;ALCALÁ DE HENARES;28801;CALLE  ESCRITORIOS;6
28000170;CPR INF-PRI;SAN FRANCISCO DE ASIS;Madrid-Este;Privado Concertado;918880031;918811012;http://www.educa.madrid.org/cc.sanfranciscodeasis.alcala;cc.sanfranciscodeasis.alcala@educa.madrid.org;MADRID;ALCALÁ DE HENARES;ALCALÁ DE HENARES;28801;CALLE  SANTIAGO;35
28000224;CPR INF-PRI;SAN FELIPE NERI;Madrid-Este;Privado Concertado;918881397;918881397;http://www.educa.madrid.org/cc.sanfelipeneri.alcala;cc.sanfelipeneri.alcala@educa.madrid.org;MADRID;ALCALÁ DE HENARES;ALCALÁ DE HENARES;28801;CALLE  SAN FELIPE NERI;4
28000303;CPR INF-PRI-SEC;ESCUELAS PIAS;Madrid-Este;Privado Concertado;918893158;918820850;http://www.educa.madrid.org/cc.escuelaspias.alcala;cc.escuelaspias.alcala@educa.madrid.org;MADRID;ALCALÁ DE HENARES;ALCALÁ DE HENARES;28804;AVENIDA  LOPE DE FIGUEROA;27
28000327;CPR INF-PRI-SEC;SANTA MARIA DE LA PROVIDENCIA;Madrid-Este;Privado Concertado;918819409;918813167;http://www.educa.madrid.org/cc.smdelaprovidencia.alcala;cc.smdelaprovidencia.alcala@educa.madrid.org;MADRID;ALCALÁ DE HENARES;ALCALÁ DE HENARES;28807;CALLE  HUERTAS;4
28000406;CPR INF-PRI-SEC;SAN GABRIEL;Madrid-Este;Privado Concertado;918890650;918871277;http://www.educa.madrid.org/cc.sangabriel.alcala;cc.sangabriel.alcala@educa.madrid.org;MADRID;ALCALÁ DE HENARES;ALCALÁ DE HENARES;28800;CARRETERA  DAGANZO (MARGEN IZQUIERDO);k2-5
28000421;CPR INF-PRI-SEC;SAN IGNACIO DE LOYOLA;Madrid-Este;Privado Concertado;918871114;918832815;http://www.educa.madrid.org/cc.sanignaciodeloyola.alcala;cc.sanignaciodeloyola.alcala@educa.madrid.org;MADRID;ALCALÁ DE HENARES;ALCALÁ DE HENARES;28806;CALLE  CONCEPCIÓN ARENAL;3
28000431;CPR INF-PRI-SEC;MINERVA;Madrid-Este;Privado Concertado;918881362;918881362;http://www.educa.madrid.org/cc.minerva.alcala;cc.minerva.alcala@educa.madrid.org;MADRID;ALCALÁ DE HENARES;ALCALÁ DE HENARES;28804;CALLE  BATALLA DE LEPANTO;1
28000479;CPR INF-PRI-SEC;CALASANZ;Madrid-Este;Privado Concertado;918892900;918771836;http://www.educa.madrid.org/cc.calasanz.alcala;cc.calasanz.alcala@educa.madrid.org;MADRID;ALCALÁ DE HENARES;ALCALÁ DE HENARES;28801;CALLE  SANTIAGO;29
28000492;CPR INF-PRI-SEC;LOPE DE VEGA;Madrid-Este;Privado Concertado;918893879;91.8892021;http://www.educa.madrid.org/cc.lopedevega.alcala;cc.lopedevega.alcala@educa.madrid.org;MADRID;ALCALÁ DE HENARES;ALCALÁ DE HENARES;28805;CALLE  LUIS DE MEDINA;12
